id,code,name,type,parent_id:id,reconcile,user_type:id
ni_puc_52,52,COSTO DE VENTAS AL EXTERIOR,view,ni_puc_5,FALSE,l10n_ni.account_type_selling_costs
ni_puc_5201,5201,COSTO DE PRODUCTOS AL EXTERIOR,view,ni_puc_52,FALSE,l10n_ni.account_type_selling_costs
ni_puc_520101,520101,Costo de Productos ventas al exterior (compras),other,ni_puc_5201,FALSE,l10n_ni.account_type_selling_costs
ni_puc_520102,520102,Costo de aranceles,other,ni_puc_5201,FALSE,l10n_ni.account_type_selling_costs
ni_puc_520103,520103,Costo de Seguros,other,ni_puc_5201,FALSE,l10n_ni.account_type_selling_costs
ni_puc_520104,520104,Costo de Transportes,other,ni_puc_5201,FALSE,l10n_ni.account_type_selling_costs
ni_puc_520105,520105,Servicios logística de aduana,other,ni_puc_5201,FALSE,l10n_ni.account_type_selling_costs
ni_puc_6,6,GASTOS GENERALES,view,ni_puc_root,FALSE,account.data_account_type_expense
ni_puc_61,61,GASTOS DE ADMINISTRACION,view,ni_puc_6,FALSE,account.data_account_type_expense
ni_puc_6101,6101,GASTOS DE PERSONAL DE ADMON,view,ni_puc_61,FALSE,account.data_account_type_expense
ni_puc_610101,610101,Sueldos y Salarios de Admón,other,ni_puc_6101,FALSE,account.data_account_type_expense
ni_puc_610102,610102,PRESTACIONES LABORALES ADMON,view,ni_puc_6101,FALSE,account.data_account_type_expense
ni_puc_61010201,61010201,Aguinaldo Admón,other,ni_puc_610102,FALSE,account.data_account_type_expense
ni_puc_61010202,61010202,Bono 14 Admón,other,ni_puc_610102,FALSE,account.data_account_type_expense
ni_puc_61010203,61010203,Vacaciones Admón,other,ni_puc_610102,FALSE,account.data_account_type_expense
ni_puc_61010204,61010204,Indemnización Admón,other,ni_puc_610102,FALSE,account.data_account_type_expense
ni_puc_61010205,61010205,INSS Patronal Admón,other,ni_puc_610102,FALSE,account.data_account_type_expense
ni_puc_61010206,61010206,INATEC Admón,other,ni_puc_610102,FALSE,account.data_account_type_expense
ni_puc_610103,610103,Atención al personal Admón,other,ni_puc_6101,FALSE,account.data_account_type_expense
ni_puc_610104,610104,Capacitación de personal Admón,other,ni_puc_6101,FALSE,account.data_account_type_expense
ni_puc_610105,610105,Subsidio educativo Admón,other,ni_puc_6101,FALSE,account.data_account_type_expense
ni_puc_6102,6102,GASTOS DE FUNCIONAMIENTO,view,ni_puc_61,FALSE,account.data_account_type_expense
ni_puc_610201,610201,ARRENDAMIENTOS Y ADECUACIONES LOCATIVAS,view,ni_puc_6102,FALSE,account.data_account_type_expense
ni_puc_61020101,61020101,Arrendamientos,other,ni_puc_610201,FALSE,account.data_account_type_expense
